Product_Code	Number_of_Searches
1.1.6	4910
1.1.7	4241
1.1.8	5064
1.1.9	3482
1.1.10	1524
1.1.11	1056
1.1.13	2189
1.1.14	3403
1.1.16	1102
1.1.18	2922
1.1.19	3572
1.1.20	733
1.1.22	2000
1.1.23	3107
1.1.26	1617
1.1.27	3350
1.1.29	1875
1.1.30	1580
1.1.32	1431
1.1.33	897
1.1.34	979
1.1.35	990
1.1.36	908
1.1.37	954
1.1.38	1181
1.1.39	855
1.1.99	1644
1.2.1	2221
1.2.3	1738
1.2.4	2023
1.2.8	1382
1.2.9	1198
1.2.16	2136
1.2.17	1965
1.2.98	860
1.2.99	754
1.3.1	2158
1.3.2	2295
1.3.3	2702
1.3.5	730
1.3.6	409
1.3.7	1442
1.3.13	1681
1.3.16	422
1.3.17	609
1.3.18	2266
1.3.19	416
1.3.20	377
1.3.21	503
1.3.22	1365
1.3.23	523
1.3.24	878
1.3.26	905
1.3.28	507
1.3.29	930
1.3.80	359
1.3.99	769
1.4.1	2482
1.4.3	1346
1.4.4	1710
1.4.5	3688
1.4.6	3792
1.4.8	1258
1.4.9	916
1.4.10	343
1.4.21	726
1.4.22	308
1.4.23	435
1.4.24	86
1.4.25	642
1.4.26	283
1.4.27	279
1.4.28	773
1.4.29	256
1.4.99	591
1.5.1	4991
1.5.2	4356
1.5.3	1781
1.5.5	2855
1.5.6	3522
1.5.8	9418
1.5.9	4184
1.5.10	4620
1.5.11	1605
1.5.13	1035
1.5.99	1509
1.6.1	3607
1.6.2	3149
1.6.3	3507
1.6.5	2666
1.6.8	1666
1.6.99	1324
1.7.1	4057
1.7.4	1619
1.7.5	1791
1.7.6	575
1.7.7	365
1.7.8	381
1.7.10	447
1.8.1	1232
1.8.2	1290
1.8.3	2423
1.8.6	949
1.8.7	729
1.8.8	479
1.8.9	1581
1.8.10	599
1.8.11	1466
1.8.12	402
1.8.14	364
1.8.15	572
1.8.16	557
1.8.17	308
1.8.18	311
1.8.19	303
1.8.20	302
1.8.99	711
1.9.4	400
1.9.13	1551
1.9.36	912
1.9.37	627
1.9.42	148
1.9.99	220
1.10.1	1697
1.10.2	1514
1.10.3	2236
1.10.5	1184
1.10.6	3296
1.10.8	2699
1.10.9	1446
1.10.10	1877
1.10.11	2162
1.10.12	619
1.10.13	1661
1.10.14	1837
1.10.15	1476
1.10.16	484
1.10.18	1068
1.10.19	1445
1.10.20	585
1.10.21	429
1.10.22	324
1.11.2	1084
1.11.10	294
1.11.11	378
1.11.14	1609
1.11.16	732
1.11.17	513
1.11.18	1787
1.11.19	997
1.11.24	1209
1.11.25	452
1.11.26	257
1.11.27	726
1.11.28	1066
1.11.29	534
1.11.31	473
1.11.99	404
1.12.1	1130
1.12.2	847
1.12.3	1236
1.12.4	1175
1.12.5	1295
1.12.6	1255
1.12.7	725
1.12.8	715
1.12.9	1170
1.12.10	683
1.12.11	724
1.12.15	677
1.12.16	629
1.12.17	666
1.12.99	783
1.51.2	429
1.51.3	517
1.51.4	472
1.51.5	462
1.51.6	442
1.51.7	754
1.51.8	431
1.51.9	420
1.51.10	441
1.51.11	416
1.51.12	411
1.51.13	492
1.51.14	425
1.51.15	520
1.51.16	400
1.51.17	422
1.51.19	392
1.51.99	317
1.52.1	114
1.52.2	109
1.52.3	140
1.52.4	197
1.52.5	240
1.52.6	138
1.52.7	104
1.52.8	96
1.52.10	94
1.52.11	102
1.52.12	112
1.52.13	116
1.52.99	28
1.53.2	85
1.53.3	81
1.53.5	112
1.53.6	70
1.53.8	47
1.53.9	62
1.53.10	98
1.53.11	77
1.53.12	56
1.53.99	1
1.54.1	79
1.54.2	58
1.54.5	69
1.54.6	47
1.54.7	77
1.54.8	60
1.54.9	98
1.54.10	62
1.54.11	39
1.54.12	50
1.54.99	1
1.55.1	58
1.55.2	39
1.55.3	75
1.55.4	101
1.55.5	73
1.55.6	26
1.55.9	87
1.55.10	65
1.55.11	156
1.55.13	69
1.55.14	59
1.55.15	77
1.55.16	56
1.55.17	53
1.55.99	40
1.56.1	47
1.56.2	54
1.56.4	48
1.56.5	60
1.56.99	47
1.57.1	42
1.57.2	35
1.57.3	30
1.57.4	29
1.57.5	26
1.57.7	26
1.57.8	22
1.57.9	26
1.57.10	44
1.57.11	16
1.57.99	13
1.60.1	171
1.60.2	88
1.60.4	173
1.60.5	68
1.61.1	79
1.61.2	61
1.62.1	99
1.62.2	86
1.62.3	75
1.62.4	229
1.63.1	146
2.1.1	6343
2.1.2	10982
2.1.3	9189
2.1.4	1683
2.1.6	3133
2.1.7	2414
2.1.8	4351
2.1.10	5520
2.1.11	3225
2.1.12	1915
2.1.13	2946
2.1.14	2837
2.1.15	564
2.1.16	114
2.1.17	1203
2.1.98	2164
2.1.99	559
2.2.2	2859
2.2.4	5256
2.2.5	2333
2.2.6	3357
2.2.7	2470
2.2.8	2840
2.2.10	2541
2.2.11	1107
2.2.13	2774
2.2.14	2345
2.2.16	337
2.2.17	665
2.2.18	2613
2.2.19	946
2.2.20	1473
2.2.21	272
2.2.22	2858
2.2.24	200
2.2.26	555
2.2.27	1193
2.2.28	197
2.2.29	792
2.2.30	982
2.2.31	350
2.2.99	1815
2.3.1	512
2.3.2	1251
2.3.3	482
2.3.5	848
2.3.6	441
2.3.7	185
2.3.8	1447
2.3.9	3185
2.3.10	722
2.3.11	148
2.3.14	68
2.3.15	166
2.3.16	770
2.3.17	1022
2.3.99	270
2.4.1	1199
2.4.2	935
2.4.3	526
2.4.4	1058
2.4.99	555
2.5.2	1942
2.5.3	3962
2.5.4	1025
2.5.5	734
2.5.6	6929
2.5.8	1885
2.5.9	359
2.5.10	4035
2.5.11	3602
2.5.12	5892
2.5.13	1430
2.5.14	561
2.5.15	206
2.5.16	116
2.5.99	1174
2.6.2	1757
2.6.4	950
2.6.5	2473
2.6.6	2063
2.6.7	1905
2.6.8	1606
2.6.9	127
2.6.14	1922
2.6.15	2121
2.6.16	1888
2.6.20	221
2.6.21	740
2.6.22	140
2.6.26	1881
2.6.27	454
2.6.28	1661
2.6.29	1177
2.6.31	1251
2.6.32	1433
2.6.33	79
2.6.35	99
2.6.37	77
2.6.38	325
2.6.39	12
2.6.41	602
2.6.42	518
2.6.43	80
2.6.45	143
2.6.46	162
2.6.47	488
2.6.48	125
2.6.49	78
2.6.50	70
2.6.99	758
2.7.1	4888
2.7.2	2069
2.7.3	2163
2.7.4	2724
2.7.5	1706
2.7.6	3287
2.7.9	4173
2.7.10	7765
2.7.11	5068
2.7.12	4611
2.7.13	421
2.7.15	697
2.7.99	2340
2.8.1	1040
2.8.2	880
2.8.3	1545
2.8.4	565
2.8.6	2409
2.8.7	1946
2.8.8	2594
2.8.9	453
2.8.10	360
2.8.12	49
2.8.13	289
2.8.14	1193
2.8.15	603
2.8.17	939
2.8.19	1374
2.8.20	59
2.8.21	50
2.8.22	583
2.8.23	1734
2.8.24	644
2.8.25	131
2.8.26	199
2.8.27	2802
2.8.28	25
2.8.29	355
2.8.30	1093
2.8.31	42
2.8.32	102
2.8.33	183
2.8.34	10
2.8.35	9
2.8.36	1715
2.8.37	1093
2.8.38	29
2.8.98	422
2.8.99	100
2.9.1	1421
2.9.3	3034
2.9.4	2788
2.9.5	841
2.9.6	3036
2.9.7	4990
2.9.9	6124
2.9.10	5900
2.9.11	5449
2.9.12	3407
2.9.13	581
2.9.14	1373
2.9.15	8522
2.9.16	272
2.9.17	2657
2.9.18	2668
2.9.19	2075
2.9.20	331
2.9.22	708
2.9.23	241
2.9.99	3592
2.10.1	68
2.10.2	25
2.10.3	11
2.10.4	33
2.10.5	8
2.10.6	4
2.10.7	134
2.11.1	34
2.11.2	50
3.1.1	2870
3.1.2	1418
3.1.3	420
3.1.5	529
3.1.6	146
3.1.99	598
3.2.1	1798
3.2.2	4381
3.2.3	1452
3.2.4	433
3.2.5	3798
3.2.7	3396
3.2.8	500
3.2.9	277
3.2.10	259
3.2.11	662
3.2.12	261
3.2.14	1522
3.2.15	198
3.2.16	409
3.2.17	236
3.2.18	510
3.2.19	611
3.2.20	350
3.2.21	702
3.2.23	775
3.2.24	690
3.2.25	449
3.2.26	369
3.2.27	555
3.2.28	157
3.2.29	101
3.2.31	696
3.2.32	403
3.2.33	387
3.2.34	144
3.2.99	1855
3.3.6	1867
3.3.7	1421
3.3.10	3125
3.3.11	2344
3.3.14	329
3.3.15	1169
3.3.16	1614
3.3.17	728
3.3.20	2481
3.3.25	190
3.3.27	64
3.3.29	293
3.3.30	115
3.3.31	26
3.3.32	966
3.3.33	250
3.3.41	839
3.3.43	267
3.3.45	455
3.3.46	207
3.3.47	541
3.3.48	83
3.3.49	224
3.4.2	1482
3.4.5	1648
3.4.9	2077
3.4.10	2007
3.4.11	1493
3.4.12	1528
3.4.13	920
3.4.14	815
3.4.15	1822
3.4.16	1320
3.4.19	511
3.4.20	567
3.4.21	689
3.4.23	376
3.4.24	686
3.4.25	720
3.4.26	386
3.4.27	372
3.4.28	351
3.4.29	347
3.4.30	364
3.4.31	676
3.4.33	483
3.4.99	1690
3.5.2	1771
3.5.3	950
3.5.4	651
3.5.6	883
3.5.7	213
3.5.8	71
3.5.10	95
3.5.11	19
3.5.13	218
3.5.20	1142
3.5.21	1002
3.5.22	154
3.5.23	20
3.5.24	450
3.5.27	828
3.5.29	2605
3.5.30	224
3.5.31	191
3.5.32	1009
3.5.33	371
3.5.34	1333
3.5.35	182
3.5.36	4
3.5.37	2
3.5.38	
3.5.39	42
3.5.40	8
3.5.41	2
3.5.42	115
3.5.50	149
3.5.52	
3.5.53	16
3.5.54	35
3.5.55	4
3.5.56	
3.5.57	10
3.5.58	54
3.5.99	311
3.6.1	1679
3.6.2	1645
3.6.4	1193
3.6.5	741
3.6.7	596
3.6.8	460
3.6.9	651
3.6.10	525
3.6.11	1986
3.6.13	397
3.6.14	458
3.6.99	983
3.7.2	1282
3.7.3	1701
3.7.4	2356
3.7.6	1440
3.7.7	1384
3.7.8	1721
3.7.9	1441
3.7.10	1042
3.7.11	945
3.7.12	288
3.7.13	657
3.7.15	1315
3.7.16	284
3.7.17	198
3.7.18	125
3.7.19	432
3.7.20	31
3.7.21	938
3.7.22	327
3.7.23	78
3.7.24	113
3.7.99	205
3.8.1	709
3.8.3	931
3.8.4	1502
3.8.5	177
3.8.6	549
3.8.7	113
3.8.8	201
3.8.9	493
3.8.10	371
3.8.11	54
3.8.12	79
3.8.13	364
3.8.14	73
3.8.15	344
3.8.16	388
3.8.17	425
3.8.18	379
3.8.23	468
3.8.24	44
3.8.25	687
3.8.26	34
3.8.28	102
3.8.29	28
3.8.31	93
3.8.32	39
3.8.33	75
3.8.34	142
3.8.35	49
3.8.36	95
3.8.37	47
3.8.38	35
3.8.39	18
3.8.40	286
3.8.41	18
3.8.42	15
3.8.43	25
3.8.44	197
3.8.97	200
3.8.98	162
3.9.19	960
3.9.20	226
3.9.21	68
3.9.22	20
3.9.24	582
3.9.25	43
3.9.26	106
3.9.28	30
3.9.29	62
3.10.1	458
3.10.2	402
3.10.3	405
3.10.4	372
3.10.5	508
3.10.6	397
3.10.7	315
3.10.8	321
3.10.9	302
3.10.10	341
3.10.11	256
3.10.12	390
3.10.13	266
3.10.14	1116
3.10.15	266
3.10.16	351
3.10.18	789
3.10.19	512
3.10.21	166
3.10.22	149
3.10.23	132
3.10.24	160
3.10.25	96
3.10.26	91
3.10.27	116
3.10.28	74
3.10.29	223
3.10.99	206
3.12.1	944
3.12.3	1626
3.12.4	684
3.12.6	567
3.12.7	1329
3.12.9	735
3.12.10	1397
3.12.11	429
3.12.12	384
3.12.14	784
3.12.15	428
3.12.16	1895
3.12.17	1226
3.12.18	479
3.12.19	645
3.12.20	184
3.12.21	316
3.12.23	120
3.12.24	125
3.12.99	319
3.13.1	1512
3.13.3	1056
3.13.4	182
3.13.6	379
3.13.7	1207
3.13.8	429
3.13.11	445
3.13.12	225
3.13.13	1045
3.13.14	689
3.13.16	1501
3.13.18	324
3.13.19	1106
3.13.99	1124
3.14.2	3756
3.14.3	1514
3.14.5	1997
3.14.6	696
3.14.9	1658
3.14.10	1755
3.14.11	1463
3.14.12	938
3.14.13	886
3.14.14	970
3.14.16	650
3.14.17	942
3.14.19	1287
3.14.20	1422
3.14.21	433
3.14.22	430
3.14.23	435
3.14.24	411
3.14.25	518
3.14.26	407
3.14.27	457
3.14.28	406
3.14.29	401
3.14.30	1157
3.14.99	1457
3.15.3	2623
3.15.4	1458
3.15.5	652
3.15.6	3185
3.15.7	2909
3.15.8	804
3.15.9	1033
3.15.10	2799
3.15.12	3155
3.15.13	1996
3.15.14	1194
3.15.15	1866
3.15.16	1682
3.15.17	1358
3.15.18	997
3.15.19	1007
3.15.20	2336
3.15.21	226
3.15.22	437
3.15.23	435
3.15.25	2025
3.15.26	558
3.15.27	638
3.15.28	410
3.15.30	290
3.15.31	301
3.15.32	444
3.15.33	397
3.15.34	685
3.15.35	274
3.15.36	317
3.15.37	383
3.15.38	561
3.15.39	424
3.15.40	279
3.15.41	277
3.15.42	355
3.15.43	265
3.15.44	297
3.15.45	456
3.15.46	320
3.15.47	300
3.15.48	259
3.15.49	355
3.15.50	353
3.15.51	263
3.15.53	244
3.15.56	426
3.15.57	247
3.15.58	255
3.15.59	230
3.15.99	253
3.16.1	2815
3.16.4	2317
3.16.5	1267
3.16.7	816
3.16.9	1664
3.16.11	1124
3.16.12	2292
3.16.15	538
3.16.16	962
3.16.17	1372
3.16.18	499
3.16.19	1130
3.16.20	508
3.16.21	390
3.16.22	517
3.16.23	867
3.16.24	799
3.16.25	610
3.16.26	341
3.16.27	344
3.16.28	871
3.16.29	660
3.16.30	1068
3.16.31	293
3.16.32	375
3.16.33	325
3.16.35	506
3.16.36	293
3.16.38	314
3.16.99	848
3.18.1	1587
3.18.2	1543
3.18.3	1519
3.18.4	1403
3.18.5	1281
3.18.7	503
3.18.8	1579
3.18.9	1515
3.18.12	1490
3.18.18	1229
3.18.19	204
3.18.22	264
3.18.24	355
3.18.27	222
3.18.35	184
3.18.36	889
3.18.37	158
3.18.38	180
3.18.40	340
3.18.41	204
3.18.42	155
3.18.43	215
3.18.44	153
3.18.45	138
3.18.46	218
3.18.47	1004
3.18.48	200
3.18.49	167
3.18.50	191
3.18.51	463
3.18.99	1062
3.19.1	1428
3.19.2	587
3.19.3	700
3.19.5	741
3.19.6	1162
3.19.7	1029
3.19.8	2274
3.19.9	210
3.19.12	180
3.19.13	342
3.19.14	200
3.19.15	532
3.19.16	311
3.19.17	2172
3.19.18	2557
3.19.19	108
3.19.99	2262
3.20.1	369
3.20.2	394
3.20.3	322
3.20.4	332
3.20.5	269
3.20.7	182
3.20.8	292
3.20.9	485
3.20.10	283
3.20.11	326
3.20.12	506
3.20.99	564
3.21.1	1348
3.21.2	1504
3.21.3	799
3.21.5	1265
3.21.7	1143
3.21.17	421
3.21.18	247
3.21.19	449
3.21.20	193
3.21.21	253
3.21.24	168
3.21.35	762
3.21.40	283
3.21.42	102
3.21.43	497
3.21.44	258
3.21.45	1793
3.21.46	87
3.21.47	206
3.21.49	82
3.21.50	90
3.21.60	80
3.21.61	76
3.21.62	84
3.21.63	72
3.21.64	68
3.21.65	66
3.21.66	74
3.21.67	84
3.21.68	9
3.21.69	108
3.21.99	408
3.22.1	136
3.22.2	133
3.22.3	125
3.22.4	122
3.22.5	121
3.22.6	139
3.22.7	114
3.22.8	124
3.22.9	113
3.22.10	70
3.50.3	294
3.50.4	371
3.50.5	526
3.50.6	106
3.50.7	127
3.50.8	384
3.50.9	259
3.50.12	200
3.50.13	177
3.50.14	169
3.50.15	136
3.50.16	139
3.50.17	129
3.50.18	116
3.50.19	207
3.50.20	199
3.50.30	156
3.50.98	194
3.51.2	16
3.51.3	21
3.51.4	54
3.51.5	39
3.51.99	56
3.52.2	14
3.52.3	5
3.52.4	21
3.52.5	13
3.52.6	7
3.52.7	5
3.52.98	
3.52.99	
3.53.1	2
3.53.2	1
3.53.3	286
3.53.4	505
3.53.5	303
3.53.6	279
3.53.7	285
3.53.99	
3.54.1	339
3.54.2	303
3.54.3	276
3.54.5	283
3.54.6	281
3.54.7	293
3.54.8	279
3.54.9	275
3.54.10	330
3.54.11	267
3.54.12	14
3.54.13	282
3.54.14	284
3.54.15	262
3.54.16	266
3.54.17	283
3.54.18	259
3.54.20	298
3.54.21	285
3.54.22	256
3.54.23	255
3.54.24	280
3.54.26	256
3.54.27	252
3.54.28	251
3.54.29	250
3.54.30	249
3.54.31	250
3.54.32	253
3.54.33	246
3.54.34	245
3.54.35	244
3.54.36	245
3.54.37	268
3.54.38	242
3.54.99	24
3.55.1	392
3.55.2	266
3.55.4	248
3.55.5	236
3.55.6	235
3.55.7	234
3.55.8	233
3.55.9	257
3.55.99	24
4.1.1	6578
4.1.3	5756
4.1.4	7999
4.1.5	3219
4.1.6	5744
4.1.8	971
4.1.9	1020
4.1.10	477
4.1.11	6041
4.1.18	6286
4.1.24	3301
4.1.25	1550
4.1.28	2103
4.1.30	391
4.1.33	1710
4.1.34	359
4.1.36	2994
4.1.38	539
4.1.40	2538
4.1.41	804
4.1.43	2190
4.1.44	1539
4.1.45	5319
4.1.46	362
4.1.47	319
4.1.48	460
4.1.49	1462
4.1.50	1049
4.1.51	1968
4.1.53	2112
4.1.54	2076
4.1.56	1225
4.1.57	1400
4.1.58	902
4.1.59	309
4.1.60	581
4.1.61	302
4.1.62	226
4.1.70	250
4.1.71	290
4.1.72	292
4.1.74	337
4.1.75	458
4.1.77	212
4.1.78	296
4.1.79	230
4.1.80	221
4.1.81	457
4.1.82	442
4.1.83	199
4.1.84	209
4.1.85	195
4.1.86	264
4.1.87	194
4.1.88	199
4.1.89	503
4.1.90	459
4.1.99	1940
4.2.16	2375
4.2.17	2351
4.2.19	5894
4.2.20	10623
4.2.21	10561
4.2.22	7650
4.2.24	5031
4.2.25	7082
4.2.26	7564
4.2.27	5388
4.2.28	3067
4.2.30	4500
4.2.31	3904
4.2.32	2259
4.2.33	1561
4.2.34	2389
4.2.35	3489
4.2.36	2369
4.2.37	2305
4.2.99	2903
4.3.1	6670
4.3.2	8830
4.3.4	1114
4.3.5	5714
4.3.6	5713
4.3.7	3155
4.3.9	3087
4.3.10	5843
4.3.11	1659
4.3.13	3019
4.3.15	1956
4.3.18	279
4.3.19	349
4.3.20	2863
4.3.21	2279
4.3.22	2105
4.3.23	5165
4.3.24	6186
4.3.25	4257
4.3.26	4797
4.3.27	239
4.3.97	1387
4.3.98	1024
4.3.99	1075
4.4.1	806
4.4.2	343
4.4.3	128
4.4.4	867
4.4.5	1875
4.4.10	342
4.4.11	437
4.4.12	378
4.4.13	100
4.4.16	269
4.4.17	59
4.4.19	45
4.4.20	104
4.4.21	34
4.4.22	145
4.4.23	510
4.4.24	732
4.4.25	450
4.4.26	547
4.4.27	128
4.4.28	802
4.4.29	76
4.4.30	293
4.4.31	88
4.4.99	91
4.5.2	11420
4.5.3	4430
4.5.5	6182
4.5.7	3338
4.5.8	3191
4.5.9	1850
4.5.10	1625
4.5.11	2041
4.5.12	1764
4.5.13	2062
4.5.14	1818
4.5.15	2094
4.5.16	3398
4.5.17	2324
4.5.19	3860
4.5.20	433
4.5.99	3229
4.6.1	8030
4.6.2	5243
4.6.3	3970
4.6.4	3854
4.6.5	3697
4.6.6	3522
4.6.7	4159
4.6.8	4155
4.6.9	1069
4.6.10	3960
4.6.11	2679
4.6.12	722
4.6.13	223
4.6.15	1374
4.6.17	1479
4.6.18	5531
4.6.19	2449
4.6.20	3922
4.6.21	2260
4.6.22	5351
4.6.23	4699
4.6.24	816
4.6.25	2347
4.6.26	4887
4.6.27	2652
4.6.28	2709
4.6.29	941
4.6.30	438
4.6.31	312
4.6.33	123
4.6.34	1735
4.6.35	31
4.6.36	1024
4.6.37	1888
4.6.38	2169
4.6.39	1755
4.6.40	114
4.6.41	178
4.6.42	1270
4.6.43	126
4.6.44	215
4.6.46	2579
4.6.47	30
4.6.48	1440
4.6.49	174
4.6.50	651
4.6.99	924
4.7.1	347
4.7.2	261
4.7.3	210
4.7.4	279
4.7.5	218
4.7.6	208
4.7.7	290
4.7.8	2396
4.7.9	570
4.7.10	231
4.7.11	178
4.7.13	221
4.7.14	130
4.7.99	756
4.8.1	6660
4.8.2	4372
4.8.3	2294
4.8.5	5789
4.8.6	1336
4.8.7	925
4.8.9	2031
4.8.10	603
4.8.11	912
4.8.12	887
4.8.13	574
4.8.14	2398
4.8.15	1473
4.8.16	617
4.8.17	718
4.8.18	1143
4.8.19	333
4.8.20	851
4.8.21	226
4.8.22	991
4.8.23	136
4.8.24	2643
4.8.25	2779
4.9.1	4287
4.9.2	4364
4.9.3	4263
4.9.5	2078
4.9.7	1058
4.9.8	2030
4.9.9	2285
4.9.10	1105
4.9.11	1748
4.9.12	1719
4.9.13	1510
4.9.14	2515
4.9.15	2673
4.9.16	1459
4.9.17	3908
4.9.18	5228
4.9.19	1192
4.9.20	1670
4.9.21	2588
4.9.22	1713
4.9.23	1639
4.9.25	1960
4.9.26	1318
4.9.27	739
4.10.1	1045
4.10.2	1708
4.10.3	3069
4.10.4	5165
4.10.5	2054
4.10.6	1266
4.10.99	2218
4.11.2	78
4.11.3	57
4.11.4	123
4.11.5	155
4.11.6	116
4.11.7	154
4.11.8	111
4.11.9	1
4.11.10	2
4.11.11	227
4.11.12	84
4.11.33	285
4.11.99	284
4.50.1	99
4.50.2	312
4.50.3	42
4.50.4	80
4.50.5	507
4.50.6	1067
4.50.99	744
4.51.1	30
4.51.99	18
4.85.6	11
4.85.9	21
4.85.10	789
4.85.11	15
4.85.13	3
4.85.14	6
4.85.99	11
4.86.2	2
4.86.3	
4.86.4	
4.86.5	8
4.86.6	
4.86.7	154
4.86.8	
4.86.9	
4.86.10	199
4.86.11	167
4.86.12	
4.86.14	3
4.86.15	38
4.86.16	
4.86.17	1
4.86.18	
4.86.19	
4.86.20	38
4.86.21	12
4.86.23	54
4.86.24	15
4.86.25	
4.86.26	
4.86.27	209
4.86.28	162
4.86.99	
4.87.1	48
4.87.2	48
4.87.3	78
4.87.4	102
4.87.5	75
4.87.6	14
4.87.7	10
4.87.8	93
4.87.9	9
4.87.99	279
4.88.3	84
4.88.4	5
4.88.99	17
4.90.1	
4.90.3	1
4.90.4	3
4.90.99	16
4.91.2	25
4.91.3	3
4.91.4	
4.91.5	19
4.91.6	11
4.91.7	15
4.91.8	14
4.91.10	79
4.91.11	2
4.91.99	21
4.92.1	53
4.92.2	18
4.92.5	9
4.92.6	8
4.92.7	9
4.92.8	6
4.92.10	195
4.92.99	9
4.99.1	1385
4.99.2	80
4.99.3	708
4.99.4	386
4.99.5	3146
4.99.11	781
4.99.12	235
4.99.13	1249
4.99.19	388
4.99.23	530
4.99.24	827
4.99.25	1994
4.99.27	1140
4.99.28	1890
4.99.29	1004
4.99.32	2923
4.99.34	684
4.99.36	52
4.99.37	1457
4.99.38	27
4.99.39	179
4.99.40	80
4.99.42	286
4.99.43	316
4.99.44	914
4.99.45	236
4.99.46	347
4.99.47	256
4.99.48	80
4.99.49	23
4.99.50	613
4.99.51	216
4.99.52	1068
4.99.54	2279
4.99.99	1776
4.1.92	361
4.3.29	254
4.3.30	247
2.1.18	2233
3.2.35	1652
3.19.20	145
4.1.96	127
4.6.52	133
1.4.30	73
2.1.19	1270
2.3.20	207
3.2.36	1022
3.2.37	558
3.2.38	438
3.2.39	454
3.2.40	327
4.5.21	675
3.19.21	224
2.3.19	140
4.3.28	238
1.1.12	4443
1.1.15	4312
1.1.17	1738
1.1.28	941
1.2.2	2010
1.2.5	1373
1.2.18	988
1.3.4	699
1.3.9	1534
1.3.25	896
1.3.27	419
1.3.30	468
1.3.81	345
1.4.7	1347
1.5.4	3326
1.5.7	3676
1.5.12	1079
1.6.6	3977
1.7.9	350
1.7.99	664
1.8.21	432
1.8.98	553
1.9.41	1764
1.10.4	3923
1.10.99	1425
1.11.1	1492
1.11.15	1349
1.11.23	1850
1.11.30	549
1.12.12	711
1.51.18	400
1.53.1	34
1.53.4	96
1.53.7	68
1.56.3	54
1.56.10	67
1.60.3	106
2.2.3	7387
2.2.9	1252
2.2.12	4725
2.2.23	1545
2.2.25	1651
2.3.4	275
2.3.12	1358
2.3.13	167
2.3.18	174
2.5.7	2025
2.6.3	2767
2.6.13	205
2.6.23	106
2.6.30	156
2.6.40	1818
2.6.44	76
2.7.7	2217
2.7.8	2659
2.7.14	559
2.8.5	678
2.8.11	186
2.8.16	1419
2.9.2	2859
2.9.8	3231
2.9.21	832
2.9.24	509
3.1.4	60
3.2.13	252
3.2.22	415
3.2.30	85
3.3.5	1729
3.3.13	839
3.3.19	2296
3.3.28	29
3.3.42	814
3.3.44	941
3.3.99	1129
3.4.22	470
3.4.32	373
3.5.5	451
3.5.9	145
3.5.12	234
3.5.28	2253
3.5.51	33
3.5.98	54
3.6.6	736
3.6.12	1122
3.6.15	140
3.7.1	1192
3.7.5	1743
3.7.14	406
3.8.2	579
3.8.27	30
3.8.30	29
3.8.99	858
3.9.27	80
3.9.99	16
3.10.17	232
3.10.20	193
3.12.2	2420
3.12.5	1045
3.12.8	1151
3.12.13	1193
3.12.22	131
3.13.20	156
3.13.21	342
3.14.1	3319
3.14.15	999
3.14.18	675
3.15.1	754
3.15.2	815
3.15.11	3012
3.15.24	532
3.15.29	404
3.15.52	254
3.15.55	246
3.16.2	3096
3.16.3	2697
3.16.8	879
3.16.10	2034
3.16.34	307
3.16.37	303
3.18.20	297
3.19.4	1021
3.19.10	368
3.19.11	129
3.20.6	375
3.21.16	1235
3.21.48	317
3.50.1	194
3.50.2	471
3.50.10	138
3.50.11	118
3.50.97	183
3.51.1	27
3.51.6	12
3.52.1	11
3.52.8	
3.54.4	274
3.55.3	634
4.1.2	4076
4.1.7	3058
4.1.23	6377
4.1.27	560
4.1.29	1857
4.1.39	4944
4.1.52	284
4.1.55	2791
4.1.73	267
4.1.76	350
4.1.91	183
4.2.18	1847
4.2.23	4553
4.2.29	3393
4.3.3	4264
4.4.6	141
4.4.14	133
4.4.15	207
4.4.98	95
4.5.4	1756
4.5.6	4695
4.5.18	1610
4.6.14	5136
4.6.16	5993
4.6.32	2628
4.6.45	65
4.7.12	170
4.8.4	9207
4.8.8	700
4.8.99	1394
4.9.4	4008
4.9.6	1898
4.9.24	2211
4.9.99	1638
4.10.7	3099
4.11.1	743
4.85.5	48
4.85.15	
4.86.1	
4.86.13	
4.86.22	18
4.87.10	16
4.88.1	8
4.88.5	8
4.92.9	5
4.99.35	1637
4.99.41	133
4.99.53	2450
4.6.51	2055
4.1.93	332
